LOCAL_WELL,OWNERS_NAM,WATER_LEVE,AQUIFER_NA,WELL_STATU
10180Z,KEAN'S THE CLEANERS,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
9749Z,"BFI ENERGY SYSTEMS OF BOSTON, INC",13,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
9750Z,"BFI ENERGY SYSTEMS OF BOSTON, INC",8,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
9751Z,"BFI ENERGY SYSTEMS OF BOSTON, INC",6,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
9752Z,"BFI ENERGY SYSTEMS OF BOSTON, INC",6,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
9753Z,"BFI ENERGY SYSTEMS OF BOSTON, INC",10,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
9754Z,"BFI ENERGY SYSTEMS OF BOSTON, INC",12,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
9843Z,7-ELEVEN,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9844Z,7-ELEVEN,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9845Z,7-ELEVEN,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8808Z,SPEEDWAY SUPER,1.45,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
864,COCA-COLA,46.95,400-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
9767Z,HELIS,16,MISSISSIPPI RIVER ALLUVIAL AQUIFER,Plugged and Abandonded
9768Z,HELIS,16,MISSISSIPPI RIVER ALLUVIAL AQUIFER,Plugged and Abandonded
9771Z,HELIS,6,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Plugged and Abandonded
9772Z,HELIS,6,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Plugged and Abandonded
9773Z,HELIS,6,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Plugged and Abandonded
9774Z,HELIS,6,SHALLOW SANDS OF BATON ROUGE AREA,Plugged and Abandonded
5941Z,STAR ENTERPRISE,5.4,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
5010Z,GOLDKING PROD,0,600-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
7328Z,STAR ENTERPRISE,4,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9758Z,HELIS,6,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Active
9759Z,HELIS,6,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Active
9760Z,HELIS,6,MISSISSIPPI RIVER ALLUVIAL AQUIFER,Plugged and Abandonded
9761Z,HELIS,6,MISSISSIPPI RIVER ALLUVIAL AQUIFER,Plugged and Abandonded
9762Z,HELIS,6,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Plugged and Abandonded
9763Z,HELIS,6,MISSISSIPPI RIVER ALLUVIAL AQUIFER,Plugged and Abandonded
9764Z,HELIS,6,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Plugged and Abandonded
9765Z,HELIS,16,MISSISSIPPI RIVER ALLUVIAL AQUIFER,Plugged and Abandonded
9766Z,HELIS,16,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Plugged and Abandonded
9770Z,CINTAS,,SHALLOW SANDS OF BATON ROUGE AREA,Active
7695Z,CHEVRON,14.2,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9276Z,WAMPOLD,21,[TO BE DETERMINED],Active
9485Z,SHELL OIL,6.1,[TO BE DETERMINED],Plugged and Abandonded
760B,BRIARWOOD CLUB,19.74,400-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
151,BATON ROUGE WW,5.6,"2000- AND 2400-FT SANDS OF BATON ROUGE AREA, MIOCE",Plugged and Abandonded
760A,BRIARWOOD CLUB,17.71,SHALLOW SANDS OF BATON ROUGE AREA,Plugged and Abandonded
894,BRIARWOOD CLUB,21.47,SHALLOW SANDS OF BATON ROUGE AREA,Plugged and Abandonded
9477Z,EXXON MOBIL,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7582Z,LENNAR CENTRAL,10.5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7583Z,LENNAR CENTRAL,10.5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7751Z,LENNAR CENTRAL,14,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9893Z,"BEAU BOX PROPERTY MANAGEMENT, LLC",11.5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
10004Z,"BEAU BOX PROPERTY MANAGEMENT, LLC",10.43,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7754Z,LENNAR CENTRAL,14.5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9478Z,EXXON MOBIL,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9480Z,EXXON MOBIL,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7581Z,LENNAR CENTRAL,11,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
1447,BATON ROUGE WATER COMPANY,140,2000-FOOT SAND OF BATON ROUGE AREA,Active
9786Z,CIRCLE K STORES,2.93,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9788Z,CIRCLE K STORES,3.15,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9784Z,CIRCLE K STORES,4.21,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9785Z,CIRCLE K STORES,2.98,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
9787Z,CIRCLE K STORES,2.41,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
1446,EXXONMOBIL CHEMICAL PLANT,219.3,2400-FOOT SAND OF BATON ROUGE AREA,Active
5140Z,SOUTH OAK PROD,0,MISSISSIPPI RIVER ALLUVIAL AQUIFER,Plugged and Abandonded
473,EXXON CO USA,155.87,600-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
1443,BATON ROUGE WATER COMPANY,237,2000-FOOT SAND OF BATON ROUGE AREA,Active
10019Z,PROFESSIONAL TECHNICAL SUPPORT SERVICES,4.11,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
219,"ALDRICH, S W",8.5,1200-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
221,"MORGAN, E M",29,SHALLOW SANDS OF BATON ROUGE AREA,Abandoned
222,"GATES, W",35,400-FOOT SAND OF BATON ROUGE AREA,Destroyed
223,"MORGAN, E",9.14,SHALLOW SANDS OF BATON ROUGE AREA,Destroyed
224,"MURPHY, A",26.7,400-FOOT SAND OF BATON ROUGE AREA,Destroyed
225,SPECIALITY PLAS,0,SHALLOW SANDS OF BATON ROUGE AREA,Plugged and Abandonded
226,"LEONARD, H",41,1200-FOOT SAND OF BATON ROUGE AREA,Destroyed
227,"KEAN, J",0,1200-FOOT SAND OF BATON ROUGE AREA,Destroyed
21,EXXON CO USA,91,400- AND 600-FT SANDS OF BATON ROUGE AREA,Destroyed
22,EXXON CO USA,84,400- AND 600-FT SANDS OF BATON ROUGE AREA,Destroyed
23,EXXON CO USA,88,400- AND 600-FT SANDS OF BATON ROUGE AREA,Destroyed
24,EXXON CO USA,98,400- AND 600-FT SANDS OF BATON ROUGE AREA,Plugged and Abandonded
25,EXXON CO USA,91,400- AND 600-FT SANDS OF BATON ROUGE AREA,Plugged and Abandonded
26,EXXON CO USA,79,400- AND 600-FT SANDS OF BATON ROUGE AREA,Plugged and Abandonded
28,EXXON CO USA,11.25,1200-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
29,EXXON CO USA,9,1200-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
30,EXXON CO USA,0,[NO WELL MADE],Plugged and Abandonded
31,EXXON CO USA,150,400- AND 600-FT SANDS OF BATON ROUGE AREA,Destroyed
199,"THOMAS, J",15,SHALLOW SANDS OF BATON ROUGE AREA,Destroyed
200,"THOMAS, J",21,SHALLOW SANDS OF BATON ROUGE AREA,Destroyed
201,"GIANELLONI, V J",0,SHALLOW SANDS OF BATON ROUGE AREA,Destroyed
202,"GIANELLONI, V J",2.42,SHALLOW SANDS OF BATON ROUGE AREA,Destroyed
203,"KLEINPETER, R",0,SHALLOW SANDS OF BATON ROUGE AREA,Active
208,"MILLER, GENE",0,400-FOOT SAND OF BATON ROUGE AREA,Active
209,EB SCHOOL BOARD,0,400-FOOT SAND OF BATON ROUGE AREA,Destroyed
16,EXXON CO USA,25,,Destroyed
212,SANDAIR CORP,0,400-FOOT SAND OF BATON ROUGE AREA,Inactive
213,"RUSSO, NINO",0,SHALLOW SANDS OF BATON ROUGE AREA,Abandoned
214,"BERNHARD, W",20.77,SHALLOW SANDS OF BATON ROUGE AREA,Destroyed
215,"SLAUGHTER, W",0,SHALLOW SANDS OF BATON ROUGE AREA,Active
217,STEINBACH,0,MISSISSIPPI RIVER ALLUVIAL AQUIFER,Active
218,"HORNSBY, W E",0,SHALLOW SANDS OF BATON ROUGE AREA,Active
6361Z,"HUDSON, GEORGE",0,[NO WELL MADE],Active
6362Z,CHEVRON,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6363Z,CHEVRON,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6364Z,CHEVRON,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6365Z,CHEVRON,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
5628Z,S A S,0,[NO WELL MADE],Active
5630Z,"COLLETTE, SAM",0,[NO WELL MADE],Active
535,COPOLYMER RUB,11,1200-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
567,EXXON CHEMICAL,86,1200-FOOT SAND OF BATON ROUGE AREA,Active
177,"SEDETO, J",0,SHALLOW SANDS OF BATON ROUGE AREA,Active
5122Z,EXXON CHEMICAL,0,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Active
5123Z,EXXON CHEMICAL,0,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Active
5648Z,EXXON CHEMICAL,0,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Active
5650Z,EXXON CHEMICAL,0,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Active
5651Z,MINERAL FUND VE,40,400-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
5652Z,CHEVRON,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
5653Z,CHEVRON,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
5197Z,EB PUBLIC WORKS,0.6,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Plugged and Abandonded
133,BATON ROUGE WW,15.2,"2000- AND 2400-FT SANDS OF BATON ROUGE AREA, MIOCE",Plugged and Abandonded
135,"TAYLOR, T H",35,1500-FOOT SAND OF BATON ROUGE AREA,Abandoned
368,HEROMANS FLOWER,58,400-FOOT SAND OF BATON ROUGE AREA,Active
5687Z,SOUTHLAND CORP,3,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
5697Z,ETHYL CORP,0,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Active
5698Z,ETHYL CORP,0,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Active
5701Z,EXXON CO USA,0,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Active
6531Z,CHEVRON,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6532Z,CHEVRON,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6533Z,FLAIR HOMES,33,400-FOOT SAND OF BATON ROUGE AREA,Active
6534Z,STAR VIDEO,7.9,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6535Z,STAR VIDEO,11.1,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6536Z,STAR VIDEO,9.3,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
5680Z,SOUTHLAND CORP,3.6,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
5681Z,SOUTHLAND CORP,5.35,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
5794Z,BANK OF WBR,66,400-FOOT SAND OF BATON ROUGE AREA,Active
351,EXXON CHEMICAL,40.5,2400-FOOT SAND OF BATON ROUGE AREA,Active
352,EXXON CHEMICAL,0,2400-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
355,EXXON CO USA,216,400-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
521,"ANDERSON, L S",20,400-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
523,BATON ROUGE WW,105.61,1200-FOOT SAND OF BATON ROUGE AREA,Active
10030Z,PRO TECH,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
263,"GIANELLONI, S J",25.32,SHALLOW SANDS OF BATON ROUGE AREA,Abandoned
265,BR COUNTRY CLUB,47,1200-FOOT SAND OF BATON ROUGE AREA,Destroyed
266,CABLE WORKS INC,18,SHALLOW SANDS OF BATON ROUGE AREA,Active
267,"DUCOTE, E",0,400-FOOT SAND OF BATON ROUGE AREA,Destroyed
268,"BROWN, E",9.5,400-FOOT SAND OF BATON ROUGE AREA,Abandoned
269,BOWERS CONCRETE,6.3,SHALLOW SANDS OF BATON ROUGE AREA,Destroyed
270,"DODWELL, B",0,400-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
272,FONTENOT ETAL,0,400-FOOT SAND OF BATON ROUGE AREA,Destroyed
273,"MCINNIS, M",0,400-FOOT SAND OF BATON ROUGE AREA,Destroyed
5597Z,"CHERRLOUSE, M S",0,[NO WELL MADE],Active
5598Z,"ELBOURNE, J C",0,[NO WELL MADE],Active
5600Z,"HANCHEY, ROBERT",24,SHALLOW SANDS OF BATON ROUGE AREA,Active
687,EB PUBLIC WORKS,12,SHALLOW SANDS OF BATON ROUGE AREA,Destroyed
692,"SMITH, D",3,400-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
5666Z,SOUTHLAND CORP,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
150,BATON ROUGE WW,4.9,"2000- AND 2400-FT SANDS OF BATON ROUGE AREA, MIOCE",Plugged and Abandonded
152,BATON ROUGE WW,46,1500-FOOT SAND OF BATON ROUGE AREA,Destroyed
153,BATON ROUGE WW,45,1500-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
154,BATON ROUGE WW,65,2400-FOOT SAND OF BATON ROUGE AREA,Destroyed
155,EXXON CO USA,166.17,400-FOOT SAND OF BATON ROUGE AREA,Active
179,"LEBLANC, P",18,400-FOOT SAND OF BATON ROUGE AREA,Destroyed
180A,"HARELSON, H",0,400-FOOT SAND OF BATON ROUGE AREA,Destroyed
1198,LA CONCRETE,0,400-FOOT SAND OF BATON ROUGE AREA,Active
696,BATON ROUGE WW,7,2000-FOOT SAND OF BATON ROUGE AREA,Destroyed
697,NESOM EST,0,1000-FOOT SAND OF BATON ROUGE AREA,Destroyed
699,BATON ROUGE WW,20,1200-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
143,"VERNICE, BENNIE",43,1200-FOOT SAND OF BATON ROUGE AREA,Destroyed
144,"WILLIAMS, L R",29.25,400-FOOT SAND OF BATON ROUGE AREA,Destroyed
145,"WEBB, FLETCHER",25,1200-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
147,"STUMBERG, J",10.25,1000-FOOT SAND OF BATON ROUGE AREA,Destroyed
347,"GRAPHIA, T",60,400-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
348,MAGNOLIA ST NUR,32.3,1500-FOOT SAND OF BATON ROUGE AREA,Destroyed
349,MAGNOLIA ST NUR,25,1200-FOOT SAND OF BATON ROUGE AREA,Destroyed
350,EXXON CHEMICAL,172,400-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
5667Z,"AMEDEE, JAMES",0,400-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
5668Z,TEXACO,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
5669Z,TEXACO,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
5670Z,TEXACO,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
5676Z,LA CARDIOLOGY,0,[NO WELL MADE],Active
5678Z,SOUTHLAND CORP,1.89,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
5679Z,SOUTHLAND CORP,3.34,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
861,COPOLYMER RUB,173,1200-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
866,SOUTH CENTRAL,38.6,400-FOOT SAND OF BATON ROUGE AREA,Active
868,U S GEOL SURVEY,15.12,400-FOOT SAND OF BATON ROUGE AREA,Active
869,U S GEOL SURVEY,59.36,600-FOOT SAND OF BATON ROUGE AREA,Active
870,U S GEOL SURVEY,108.55,600-FOOT SAND OF BATON ROUGE AREA,Active
871,U S GEOL SURVEY,13.78,400-FOOT SAND OF BATON ROUGE AREA,Active
1293A,CAPITAL AREA GW,71,800-FOOT SAND OF BATON ROUGE AREA,Active
1293B,CAPITAL AREA GW,134,1500-FOOT SAND OF BATON ROUGE AREA,Active
1295,BATON ROUGE WW,66,1500-FOOT SAND OF BATON ROUGE AREA,Active
1297,BATON ROUGE WW,112,1200-FOOT SAND OF BATON ROUGE AREA,Active
5235Z,TEXAS MERIDIAN,30,400-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
676,"KEAN, H L",49,1200-FOOT SAND OF BATON ROUGE AREA,Abandoned
677,BATON ROUGE WW,15.94,1500-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
678,"SIDMONDS, S",0,SHALLOW SANDS OF BATON ROUGE AREA,Destroyed
679,"HALL, TOM",0,1200-FOOT SAND OF BATON ROUGE AREA,Active
681,KLEINPETER FARM,17.39,SHALLOW SANDS OF BATON ROUGE AREA,Inactive
682,EXXON CO USA,16,1700-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
684,EB SCHOOL BOARD,18.97,400-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
132,EXXON CO USA,35,2000-FOOT SAND OF BATON ROUGE AREA,Destroyed
1123,BATON ROUGE WW,76,1000-FOOT SAND OF BATON ROUGE AREA,Active
1025,BATON ROUGE WW,0,2400-FOOT SAND OF BATON ROUGE AREA,Active
1028,U S GEOL SURVEY,260,2000-FOOT SAND OF BATON ROUGE AREA,Active
1030,COPOLYMER RUB,276,2000-FOOT SAND OF BATON ROUGE AREA,Active
5354Z,"PUEA, WAYNE",0,[NO WELL MADE],Active
5355Z,"KLEINPETER, BEN",0,SHALLOW SANDS OF BATON ROUGE AREA,Active
5358Z,"OLSEN, GYP",0,[NO WELL MADE],Active
5359Z,"GRANTHAM, A C",0,[NO WELL MADE],Active
5360Z,"FELPS, LUTHER",0,[NO WELL MADE],Active
5363Z,"ERIE, ROBERT",0,[NO WELL MADE],Active
946,U S GEOL SURVEY,160.31,1200-FOOT SAND OF BATON ROUGE AREA,Active
948,NORTON BROTHERS,16,400-FOOT SAND OF BATON ROUGE AREA,Active
949,"BRECHEEN, V",9.65,400-FOOT SAND OF BATON ROUGE AREA,Active
274,"SPILLER, F",45,1200-FOOT SAND OF BATON ROUGE AREA,Destroyed
275,"DOUGHTY, E",30,400-FOOT SAND OF BATON ROUGE AREA,Destroyed
276,"STRAIT, C",14,400-FOOT SAND OF BATON ROUGE AREA,Abandoned
277,"KERR, A",0,400-FOOT SAND OF BATON ROUGE AREA,Destroyed
278,"DAY, R",0,400-FOOT SAND OF BATON ROUGE AREA,Destroyed
279,LA DOTD,30,400-FOOT SAND OF BATON ROUGE AREA,Destroyed
1274,CAPITAL AREA GW,64,800-FOOT SAND OF BATON ROUGE AREA,Active
1276,BATON ROUGE WW,93,1000-FOOT SAND OF BATON ROUGE AREA,Active
1278,CAPITAL AREA GW,37,400-FOOT SAND OF BATON ROUGE AREA,Active
1279,BATON ROUGE WW,33,800-FOOT SAND OF BATON ROUGE AREA,Active
1282,BR COUNTRY CLUB,57,400-FOOT SAND OF BATON ROUGE AREA,Active
1312,PARISH WATER CO,100,1200-FOOT SAND OF BATON ROUGE AREA,Active
5364Z,"SCOTT, MANNIE",30,400-FOOT SAND OF BATON ROUGE AREA,Active
5372Z,"BENSON, JEROME",0,[NO WELL MADE],Active
5375Z,EXXON CO USA,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
5376Z,EXXON CO USA,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
5377Z,"GUILLORY, J D",0,[NO WELL MADE],Active
5378Z,"SCHUTTE, MAISON",0,[NO WELL MADE],Active
1188,EXXON PIPELINE,22,SHALLOW SANDS OF BATON ROUGE AREA,Active
180B,"HARELSON, H",3,1000-FOOT SAND OF BATON ROUGE AREA,Destroyed
181,LSU BATON ROUGE,0,MISSISSIPPI RIVER ALLUVIAL AQUIFER,Active
183,HINES,18,SHALLOW SANDS OF BATON ROUGE AREA,Plugged and Abandonded
184,"PHILLIPS, W",16.6,400-FOOT SAND OF BATON ROUGE AREA,Destroyed
185,ARMSTRONG,22,400-FOOT SAND OF BATON ROUGE AREA,Destroyed
186,"SHOWS, W",0,400-FOOT SAND OF BATON ROUGE AREA,Destroyed
187,"JENKINS, W",16.84,1200-FOOT SAND OF BATON ROUGE AREA,Destroyed
188,"SHARP, S",15,400-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
192,FORTSON & COOPE,5,400-FOOT SAND OF BATON ROUGE AREA,Destroyed
196,BR POLICE CAMP,0,SHALLOW SANDS OF BATON ROUGE AREA,Active
198A,"PAULAT, G",0,400-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
852,EXXON CO USA,193.5,400-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
856,EXXON CHEMICAL,236,2000-FOOT SAND OF BATON ROUGE AREA,Active
6556Z,TEXACO,4.98,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6557Z,EXXON CO USA,4.68,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6558Z,EXXON CO USA,4.68,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6560Z,EXXON CO USA,4.68,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
1284,WALDEN,12,SHALLOW SANDS OF BATON ROUGE AREA,Active
1285,MANSION IN PARK,24,400-FOOT SAND OF BATON ROUGE AREA,Active
5779Z,CIRCLE K,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
5780Z,CIRCLE K,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
5782Z,CIRCLE K,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
5605Z,CHEVRON,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
5606Z,CHEVRON,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
5607Z,CHEVRON,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
198B,"PAULAT, G",0,800-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
6541Z,"ALBERS, BILL",10,SHALLOW SANDS OF BATON ROUGE AREA,Active
6542Z,STAR ENTERPRISE,8.62,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6543Z,STAR ENTERPRISE,8.62,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6544Z,TEXACO,8.62,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
6545Z,STAR ENTERPRISE,8.62,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6547Z,TEXACO,3.32,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
6548Z,STAR ENTERPRISE,3.32,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6549Z,STAR ENTERPRISE,3.32,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6550Z,STAR ENTERPRISE,3.32,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6551Z,STAR ENTERPRISE,3.32,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6552Z,TEXACO,4.98,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6553Z,TEXACO,4.98,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6554Z,TEXACO,4.98,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
6555Z,TEXACO,4.98,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
1259,BR COUNTRY CLUB,41,400-FOOT SAND OF BATON ROUGE AREA,Active
1261,PARISH WATER CO,45,600-FOOT SAND OF BATON ROUGE AREA,Active
1262,BATON ROUGE WW,88,2400-FOOT SAND OF BATON ROUGE AREA,Active
1263,BENNYS CAR WASH,23,400-FOOT SAND OF BATON ROUGE AREA,Active
5352Z,FAST TRACK,0,[NO WELL MADE],Active
