LOCAL_WELL,OWNERS_NAM,WATER_LEVE,AQUIFER_NA,WELL_STATU
9226Z,FRANK KEAN,7,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Plugged and Abandonded
9412Z,ALBERTSONS LLC,0,[TO BE DETERMINED],Plugged and Abandonded
9413Z,ALBERTSONS LLC,0,[TO BE DETERMINED],Plugged and Abandonded
8523Z,EXXON MOBIL,4.39,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7554Z,CIRCLE K,1.68,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7711Z,EXXON CO USA,2.21,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7712Z,EXXON CO USA,4.41,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7713Z,EXXON CO USA,7.89,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8586Z,EXXON MOBIL,8.7,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8750Z,"BATON ROUGE, LA",15.31,MISSISSIPPI RIVER ALLUVIAL AQUIFER,Plugged and Abandonded
7926Z,BFI,6.5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
8712Z,EXXON MOBIL,4.05,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8713Z,EXXON MOBIL,3.15,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8714Z,EXXON MOBIL,3.6,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8715Z,EXXON MOBIL,3.24,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8908Z,URS CORPORATION,2,MISSISSIPPI RIVER ALLUVIAL AQUIFER,Active
8910Z,URS CORPORATION,12,PLEISTOCENE SERIES,Active
8911Z,URS CORPORATION,11.5,PLEISTOCENE SERIES,Active
8912Z,URS CORPORATION,6.5,PLEISTOCENE SERIES,Active
8913Z,BETHANY WORLD,25,PLEISTOCENE SERIES,Active
8954Z,URS CORPORATION,,MISSISSIPPI RIVER ALLUVIAL AQUIFER,Active
8955Z,BR PUBLIC WORKS,1,NORCO AQUIFER,Active
8956Z,BR PUBLIC WORKS,2,MISSISSIPPI RIVER ALLUVIAL AQUIFER,Active
9354Z,"WASHANER, WOLFE",0,[TO BE DETERMINED],Plugged and Abandonded
9362Z,AAA PUMP REPAIR,19,[TO BE DETERMINED],Active
8823Z,EB PUBLIC WORKS,3.97,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Plugged and Abandonded
8824Z,EB PUBLIC WORKS,3.64,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Plugged and Abandonded
8825Z,EB PUBLIC WORKS,3.71,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Plugged and Abandonded
8815Z,EXXON MOBIL,6.09,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8816Z,EXXON MOBIL,6.11,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8817Z,EXXON MOBIL,4.68,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8818Z,EXXON MOBIL,7.24,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8989Z,BR PUBLIC WORKS,,MISSISSIPPI RIVER ALLUVIAL AQUIFER,Plugged and Abandonded
8990Z,BR PUBLIC WORKS,,MISSISSIPPI RIVER ALLUVIAL AQUIFER,Plugged and Abandonded
8991Z,BR PUBLIC WORKS,0,MISSISSIPPI RIVER ALLUVIAL AQUIFER,Plugged and Abandonded
8992Z,BR PUBLIC WORKS,0,MISSISSIPPI RIVER ALLUVIAL AQUIFER,Plugged and Abandonded
8993Z,BR PUBLIC WORKS,,MISSISSIPPI RIVER ALLUVIAL AQUIFER,Plugged and Abandonded
8994Z,BR PUBLIC WORKS,,MISSISSIPPI RIVER ALLUVIAL AQUIFER,Plugged and Abandonded
8996Z,BR PUBLIC WORKS,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
8997Z,BR PUBLIC WORKS,,MISSISSIPPI RIVER ALLUVIAL AQUIFER,Plugged and Abandonded
8998Z,PROTECH,8.5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
8807Z,CONOCO PHILLIPS,3.73,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8809Z,SPEEDWAY SUPER,1.2,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8891Z,CONOCO PHILLIPS,6.42,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8892Z,CONOCO PHILLIPS,11.23,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8893Z,CONOCO PHILLIPS,4.25,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
8897Z,BR PUBLIC WORKS,3.98,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
8899Z,BR PUBLIC WORKS,9.32,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
8900Z,BR PUBLIC WORKS,4.11,PLEISTOCENE SERIES,Active
8901Z,BR PUBLIC WORKS,2.78,PLEISTOCENE SERIES,Active
8904Z,BR PUBLIC WORKS,8,PLEISTOCENE SERIES,Active
8905Z,BR PUBLIC WORKS,19,PLEISTOCENE SERIES,Active
8906Z,BR PUBLIC WORKS,13,PLEISTOCENE SERIES,Active
8907Z,URS CORPORATION,4,MISSISSIPPI RIVER ALLUVIAL AQUIFER,Active
8401Z,"BOURLAND, DAVID",0,400-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
234,LAMAR ADVERTISE,0,SHALLOW SANDS OF BATON ROUGE AREA,Destroyed
8116Z,EXXON CO USA,10.65,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7606Z,LENNAR CENTRAL,10.5,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
10174Z,MACK ENERGY COMPANY,7,MISSISSIPPI RIVER ALLUVIAL AQUIFER,Plugged and Abandonded
10126Z,"BGD TOWNHOMES, LLC",,SHALLOW SANDS OF BATON ROUGE AREA,Plugged and Abandonded
10125Z,JOHNNY CURTIS,31,400-FOOT SAND OF BATON ROUGE AREA,Active
1211,RUNNELS SCHOOL,0,SHALLOW SANDS OF BATON ROUGE AREA,Destroyed
7180Z,STAR ENTERPRISE,12,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7179Z,STAR ENTERPRISE,12,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7181Z,STAR ENTERPRISE,12,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7275Z,STAR ENTERPRISE,4,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
64,"ODOM, PAUL",30,1700-FOOT SAND OF BATON ROUGE AREA,Active
65,"BANKSTON, E W",11.21,1200-FOOT SAND OF BATON ROUGE AREA,Active
67,"BENTON, D M",16.45,SHALLOW SANDS OF BATON ROUGE AREA,Destroyed
70,"BENTON, O M",0,400-FOOT SAND OF BATON ROUGE AREA,Active
1444,BATON ROUGE WATER COMPANY,,1500-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
982,TOOMER ELECTRIC,12.41,SHALLOW SANDS OF BATON ROUGE AREA,Plugged and Abandonded
1445,BATON ROUGE WATER COMPANY,193,"2000- AND 2400-FT SANDS OF BATON ROUGE AREA, MIOCE",Active
5614Z,LAMMERTS OIL,20,400-FOOT SAND OF BATON ROUGE AREA,Destroyed
353,EXXON CHEMICAL,25,2400-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
1021,PARISH WATER CO,75.09,1500-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
6668Z,EXXON CO USA,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
514A,BATON ROUGE WW,0,2800-FOOT SAND OF BATON ROUGE AREA,Destroyed
128,DIVINCENTI BROS,88.38,800-FOOT SAND OF BATON ROUGE AREA,Active
6617Z,"DANIELS, DAN",24,SHALLOW SANDS OF BATON ROUGE AREA,Active
6460Z,"BAUGH, ROBERT",0,400-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
8340Z,SOUTHLAND CORP,,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
7511Z,BLUEBONNET VIL,14,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
7701Z,EXXON CO USA,6.15,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Plugged and Abandonded
198C,"PAULAT, G",0,1200-FOOT SAND OF BATON ROUGE AREA,Plugged and Abandonded
5111Z,CALLON PETRO,7,MISSISSIPPI RIVER ALLUVIAL AQUIFER,Plugged and Abandonded
5223Z,"FLETCHER, CATHY",0,[NO WELL MADE],Active
254,"EASTERLY, L",4,400-FOOT SAND OF BATON ROUGE AREA,Active
5654Z,CHEVRON,0,SOUTHEAST LOUISIANA AQUIFER SYSTEM SURFICIAL CONFI,Active
968,LSU BATON ROUGE,0,SHALLOW SANDS OF BATON ROUGE AREA,Active
6752Z,LSU ENGINEERING,2.25,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Plugged and Abandonded
9523Z,7-ELEVEN,5.5,,Active
9524Z,7-ELEVEN,5.5,,Active
9526Z,CAPSTONE DEVELOPMENT,34,,Active
1376,CAPSTONE DEVELOPMENT,34,,Active
1375,BATON ROUGE WATER COMPANY,165,1700-FOOT SAND OF BATON ROUGE AREA,Active
8327Z,EXXON CHEMICAL,8,MISSISSIPPI RIVER ALLUVIAL AQUIFER SURFICIAL CONFINING,Active
8397Z,"NIXON, STUART",15,400-FOOT SAND OF BATON ROUGE AREA,Active
9407Z,CIRCLE K STORES,0,[TO BE DETERMINED],Active
5052Z,DENOVO OIL-GAS,0,SHALLOW SANDS OF BATON ROUGE AREA,Active
576,EXXON MOBIL,73.75,1200-FOOT SAND OF BATON ROUGE AREA,Active
1135,BATON ROUGE WW,37,1000-FOOT SAND OF BATON ROUGE AREA,Active
5495Z,FAST TRACK,0,[NO WELL MADE],Active
631A,"JARREAU, L U",17,SHALLOW SANDS OF BATON ROUGE AREA,Active
1230,COPOLYMER RUB,120,1200-FOOT SAND OF BATON ROUGE AREA,Active
5715Z,"KESTLER, BRUCE",0,[NO WELL MADE],Active
1252,BATON ROUGE WW,153,2400-FOOT SAND OF BATON ROUGE AREA,Active
1353,BATON ROUGE WC,165,2400-FOOT SAND OF BATON ROUGE AREA,Active
